KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
1758,Enighedens Børnehus,56%,,,,17,60,4,"55.80405070262392, 12.561198599952268 ",https://jobdanmark.dk/v64942212/job88176/paedagog-til-enighedens-bornehus-3
1761,Børnehuset Englegård,59%,,,,10,80,8,"55.85628175256146, 12.530258929955709 ",https://simplyjob.com/421726/kbenhavns-kommune/brnehuset-englegrd-sger-to-paedagogmedhjaelpere-35-og-37-timer-ugentligt-til-vores-vuggestuegruppe
1762,Klatretræet,52%,10,5,,15,80,6,"55.679050262790874, 12.576067279950783 ",https://pasningogskole.kk.dk/institution/4000443/vuggestuen
1763,Småbørnenes Forsamlingshus,63%,10,5,,15,87,6,"55.6702391528013, 12.581003789950193 ",https://smaaboernenesforsamlingshus-kk.aula.dk/om-os/boernehave
1764,Ørnen,41%,12,6,,18,108,6,"55.69198262277253, 12.577960039950515 ",https://pasningogskole.kk.dk/institution/4000494/vuggestuen
1767,Ringertoften,43%,,,,,,,,
1772,Himmelbuen,52%,,,,,88,,,https://himmelbuen-kk.aula.dk/om-himmelbuen-og-vores-paedagogik/hvem-er-vi
1829,100 Meterskoven,55%,,,,,99,,,
1831,Den Grønne Kastanje,61%,,,,,,,,
1834,Lundsgade,48%,14,7,,21,105,5,"55.69639775277413, 12.554361959953333 ",https://lundsgade-kk.aula.dk/om-os/den-integrerede-institution-lundsgade/hvem-er-vi
1835,Børnebyen ved Glyptoteket,50%,,,,,,,,
1840,Kongehatten,61%,,,,18,70,4,"55.709916132755815, 12.553651639953385",https://kongehatten-kk.aula.dk/om-os/stuer
1841,Krudthuset,49%,,,,51,276,6,"55.695672732776764, 12.549208449953934 ",https://pasningogskole.kk.dk/institution/4000464
1845,Børnehuset Nansensgade,61%,,,,,178,,,https://simplyjob.com/421797/kbenhavns-kommune/uddannet-paedagog-til-barselsvikariat-i-brnehuset-nansensgade-37-timer-uge
1848,Vartov,62%,7,3,,10,68,7,"55.53030207309337, 12.176785999982592 ",https://vartovbh.dk/organisation/personale
1849,Kastelsgården,61%,,,,35,180,6,,https://docplayer.dk/172169283-Paedagogisk-laereplan-for-kastelsgaarden-2019-2020.html
1851,Klerkegade,44%,,,,12,52,5,"55.70479122275389, 12.58130681995007 ",https://klerkegade-kk.aula.dk/om-os/klerkegades-velkomstpjece
1891,Snorregården,47%,,,,,,,,
