"Børn 1. januar efter område, alder og tid"

" "," ","2015","2016","2017","2018","2019","2020","2021"
"København"
" ","0 år",8850,9138,9642,9741,9584,9921,9481
" ","1 år",7911,8039,8419,8750,8810,8590,8681
" ","2 år",7460,7238,7430,7668,8027,8044,7633
" ","3 år",7053,6917,6700,6867,7036,7307,7273
" ","4 år",6934,6611,6563,6301,6488,6607,6847
" ","5 år",6298,6603,6322,6192,6020,6148,6137
" ","6 år",6022,6031,6301,6019,5963,5773,5808

"Børn er personer, der aldrig har været gift eller i registreret "
"partnerskab, som ikke har børn, og som ikke indgår i et par. "
"Aldersgrænsen for børn er 18 år, dog 25 år for hjemmeboende børn. En "
"person er hjemmeboende, hvis vedkommende bor på samme adresse som "
"mindst én af forældrene. "

